# Credit card default data
#
# A data set containing information on customers. The aim here is to predict
# which customers will default based on their credit card debt and income.
#
# Variables:
# default = a factor with levels "No" and "Yes" indicating whether the 
#           customer defaulted on their debt.
# balance = the average balance that the customer has remaining on their 
#           credit card after making their monthly payment
# income = income of customer
#
default,balance,income
No,730,44362
No,1074,31767
No,529,35704
No,786,38463
No,826,24905
No,1161,37469
No,237,28252
No,607,44995
No,1113,23810
No,286,45042
No,486,61566
No,1095,26465
No,229,50500
No,954,32458
No,1056,51318
No,642,30466
No,773,34353
No,855,25211
No,643,41474
No,1455,32189
No,616,39376
No,495,54385
No,914,46907
No,692,47807
No,351,35087
No,743,37865
No,653,39490
No,872,41788
No,837,51472
No,1152,42917
No,409,54207
No,1239,50067
No,1228,37409
No,821,47747
No,857,31688
No,564,42641
No,1537,48767
No,1333,39143
No,492,33379
No,766,46478
No,690,63433
No,1481,36866
No,989,45344
No,1302,33695
No,1045,54697
No,866,38363
No,691,48140
No,598,31578
No,429,51311
No,1398,39645
No,857,26656
No,728,45132
No,77,28392
No,196,41347
No,432,39370
No,462,46221
No,572,33046
No,336,51258
No,510,60398
No,933,50537
No,1333,44495
No,1404,35043
No,368,57597
No,449,45951
No,820,51585
No,1048,46417
No,244,47194
No,187,45431
No,1422,38224
No,384,61425
No,1159,45802
No,883,17182
No,1463,65458
No,958,32816
No,1208,68038
No,1057,30547
No,118,46550
No,597,58088
No,1119,45020
No,272,32850
No,1114,47714
No,867,33541
No,610,42465
No,273,55449
No,450,49643
No,430,33925
No,928,33722
No,1373,49102
No,582,24761
No,410,44641
No,1216,53640
No,598,44124
Yes,787,9854
No,944,59977
No,325,15412
No,442,36012
No,1189,39527
No,95,51371
No,1016,43219
No,1259,44932
No,732,43956
No,350,44455
No,419,36902
No,533,39394
No,95,32359
No,353,39405
No,1306,41225
No,1149,45195
No,703,57679
No,31,53287
No,988,48570
No,360,23928
No,647,33226
No,445,31975
No,667,30438
No,814,40737
No,836,54607
No,967,33055
Yes,1506,6271
No,1240,40107
No,410,53471
No,73,30682
No,791,45303
No,789,32580
No,791,46319
No,479,37256
No,889,28900
No,1284,42832
No,126,44281
No,779,61159
No,697,49477
No,607,43610
No,900,41277
No,966,33441
No,671,35689
No,172,23506
No,1482,45261
No,641,46465
Yes,1075,12360
No,916,25768
No,1271,36054
No,111,47339
No,1747,37819
Yes,1890,37088
No,27,21052
No,746,35160
Yes,1199,12655
No,499,38899
No,853,36272
No,475,32064
No,1236,35839
No,621,44214
No,220,37880
No,256,37657
No,772,31170
No,783,40357
No,444,35924
No,504,24781
No,1763,42125
No,1412,40785
No,715,47483
No,1364,55713
No,493,42495
No,1355,33375
No,956,44087
No,965,34391
No,553,50513
No,338,37767
No,709,44042
No,979,57839
No,371,15703
Yes,873,6930
Yes,1964,24563
No,548,33606
No,1257,34045
No,1190,38017
No,688,39374
No,846,39900
No,234,43326
No,768,44324
No,562,31389
No,72,31966
No,554,30357
No,891,43945
No,465,27325
Yes,1530,16868
No,991,41690
No,590,42769
No,1540,41852
No,1243,41640
No,528,49394
No,592,30731
No,705,42683
No,457,48196
No,1363,44218
No,909,45033
No,369,47835
No,673,50256
No,1039,51173
No,527,32431
No,817,32974
No,1496,24936
No,863,42845
No,1259,31264
No,1025,43510
No,910,44055
No,354,58514
No,1717,51057
No,1033,59204
No,1047,43900
No,1057,38368
No,782,50959
No,205,17534
No,749,44187
No,838,35917
No,386,44694
No,812,49623
No,1201,39719
No,990,27857
No,871,35539
No,266,40863
No,1028,44407
No,729,35042
No,1043,25867
No,230,37876
No,367,30611
No,18,30349
No,1258,30835
No,456,40907
No,57,35458
No,612,41380
No,1222,32363
No,1165,47684
Yes,1643,34364
No,944,56089
No,750,41424
No,370,31231
Yes,1992,29446
No,774,44562
No,1061,50260
Yes,1550,42226
No,1484,36731
No,986,45430
No,717,44266
No,692,47038
Yes,1329,20112
No,673,32930
No,219,48991
No,1218,43954
No,166,33436
No,107,54144
No,947,35604
No,1020,37459
No,662,31598
No,289,44413
No,198,36271
No,698,41755
No,717,34418
No,673,29736
No,372,41100
No,89,55605
No,1273,40895
No,601,18681
No,905,40712
No,1061,54437
No,1673,46335
No,374,53936
No,1288,52383
No,1230,48740
No,776,27206
No,1153,50207
No,1675,28245
No,398,30002
No,226,32019
No,1217,25174
No,640,29902
No,2,38187
No,420,55968
No,1101,32153
Yes,1701,17651
No,312,48301
No,443,55074
No,729,17910
No,279,37189
No,759,36626
No,620,22804
No,1076,44129
No,619,54957
No,1111,27467
No,864,45882
No,895,48512
No,948,46814
No,267,23118
No,625,38325
No,14,25222
No,786,44778
No,480,25553
No,222,34786
No,578,41054
No,1184,36887
Yes,419,13848
Yes,1119,24178
No,776,31329
No,1322,51792
No,878,27439
No,1268,16921
No,748,39899
No,1787,37499
No,987,27961
No,1101,18154
No,704,31516
No,556,40838
No,1073,44764
No,1126,32843
No,978,43743
No,1050,42638
No,1089,30225
No,605,21792
No,1034,49262
No,1605,38187
No,826,24680
No,1133,51414
No,837,37400
No,1491,59394
No,706,54589
No,239,33743
No,899,38267
No,777,35115
No,1395,26075
No,63,47947
Yes,1281,20128
No,514,50053
No,723,53714
No,153,33717
No,293,35390
No,509,40133
No,403,41804
No,593,37671
No,742,39367
No,772,49440
No,624,42493
No,1089,60650
No,1556,49670
No,416,38216
No,104,46928
No,564,53197
No,1029,21218
No,749,8984
No,67,28736
No,453,48034
No,1446,22996
No,761,61580
No,1350,43147
No,381,36943
No,148,37589
No,780,40804
No,994,65254
No,769,50071
No,443,27898
Yes,1717,24152
No,1092,44717
No,497,35147
Yes,1465,46420
No,565,41790
No,1025,49676
No,597,54092
No,750,53085
No,112,42386
No,1158,54420
No,1213,45150
No,1340,41656
No,588,56521
No,722,56376
No,681,43843
No,1043,37170
No,338,33656
No,114,49563
No,791,48220
No,1273,49136
No,1279,36063
Yes,1764,33923
No,1530,36913
No,198,33724
Yes,1071,7976
No,239,23527
No,391,45338
No,242,37364
No,1237,36211
No,1064,34914
No,127,33819
No,758,38018
No,909,68759
No,559,46297
No,1819,36970
No,723,43459
No,972,18511
No,696,40741
No,1246,33692
No,592,41670
No,244,24854
No,1039,49945
No,679,49489
No,1061,40585
No,1116,27883
No,1098,52286
No,1043,45983
No,1052,37638
No,688,27604
No,769,35071
No,955,26373
No,643,28660
No,438,45384
No,1279,34673
No,1639,30625
No,892,36471
No,623,48875
No,107,42287
No,591,35288
No,305,40786
No,236,31337
No,687,24564
No,60,39865
No,273,58731
Yes,1532,32146
No,950,47703
No,562,35081
No,468,25231
No,1341,36440
No,134,30457
Yes,780,38159
No,840,22885
No,914,36671
No,925,35713
No,1198,54652
No,49,30451
No,971,48388
No,783,54082
No,576,37680
No,863,43779
No,858,49675
No,362,33675
No,891,36023
No,918,44739
No,1335,21151
No,421,39874
No,774,41872
No,731,45252
No,964,36330
No,1207,37126
No,1052,52888
No,455,45572
