# Unemployment data for European countries in 2014
# 
# TUR = Total unemployment rate, i.e. percentage of unemployed persons aged 15-74 in 
# the economically active population.
# YUR = Youth unemployment rate, i.e. percentage of unemployed persons aged 15-24 in 
# the economically active population.
# LUR = Long-term unemployment rate, i.e. percentage of unemployed persons who have been 
# unemployed for 12 months or more.
#
# Source: EUROSTAT (http://ec.europa.eu/eurostat/web/lfs/data/database)
#
Country, TUR, YUR, LUR
Belgium,8.5,23.2,4.3
Bulgaria,11.4,23.8,6.9
Czech Republic,6.1,15.9,2.7
Denmark,6.6,12.6,1.7
Germany,5.0,7.7,2.2
Estonia,7.4,15.0,3.3
Ireland,11.3,23.9,6.7
Greece,26.5,52.4,19.5
Spain,24.5,53.2,12.9
France,10.3,24.1,4.4
Croatia,17.3,45.5,10.1
Italy,12.7,42.7,7.8
Cyprus,16.1,35.9,7.7
Latvia,10.8,19.6,4.7
Lithuania,10.7,19.3,4.8
Luxembourg,5.9,21.2,1.6
Hungary,7.7,20.4,3.7
Malta,5.9,11.8,2.7
Netherlands,7.4,12.7,3.0
Austria,5.6,10.3,1.5
Poland,9.0,23.9,3.8
Portugal,14.1,34.7,8.4
Romania,6.8,24.0,2.8
Slovenia,9.7,20.2,5.3
Slovakia,13.2,29.7,9.3
Finland,8.7,20.5,1.9
Sweden,7.9,22.9,1.5
United Kingdom,6.1,16.9,2.2
Iceland,5.0,10.0,0.6
Norway,3.5,7.9,0.8
Turkey,9.9,18.0,2.0
